Barcodepart,student_answer_1,student_answer_2,raw_score,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,score100
91913009-1415,คนทั่วไปเรียกว่า สื่อออนไลน์ หรือ สื่อสังคมออนไลน์นั้นเป็นสื่อหรือช่องทางที่แพร่กระจ่ายข้อมูลข่าวสารในรูปแบบต่างๆ แม้ว่าจะมีการใช้สื่อสังคมออนไลน์ในทางสร้างสรรค์สิ่งที่ดีให้แก่สังคม เป็นพื้นที่พื้นที่แสวงนั้นหาผลประโยชน์ส่วนตัวจนทำให้เกิดความเข้าใจผิดและสร้างความเสื่อมเสียให้แก่ผู้อื่นต่อความน่าเชื่อถือของข้อมูลข้าวสารโดยตรง,"เห็นด้วย เพราะได้สื่อสารทางออนไลน์นั้นมั้น ดีต่อนักเรียนที่เป็นโรคต่างๆ 
เช่น นักเรียนไม่สบายมาไม่ได้แต่อยากไปสามารถสื่อสารทางออนไลน์ได้โดยไม่ต้องเรียนและเหตุผลทำให้นักเรียนได้ความรู้มากขึ้นเรื่อยเรื่อยครับ.",5.75,1,0,0.5,0,0.25,0,1,3,0,0,0,0,0,19.17
85913000-0550,"สื่อสังคมออนไลน์ นั้น เป็นสื่อหรือช่องทางที่แพร่กระจาย ในรูปแบบต่างๆได้
อย่างรวดเร็ว การนำข้อดีของสินค้า สินค้าพื้นเมืองให้เข้าถึงผู้ซื้อได้ การนําเสนอข้อเท็จจริงอย่างตรงไปตรงมา การเผยแพร่ คุณภาพบนโลกออนไลน์ รับข้อมูลข่าวสาร
ที่มีประโยชน์ได้เป็นอย่างดี หากใช้สื่อสังคมออนไลน์อย่างไม่ระมัดระวัง ขาด
ความรับผิดชอบต่อส่วนรวม จึงมีผลกระทบต่อความน่าเชื่อของสื่อออนไลน์","
เห็นด้วย เพราะ ในการใช้สื่อสังคมออนไลน์ในการทําการตลาด ธุรกิจ และการเมือง ทําให้
ได้ผลดี ทั้งนี้ สามารถเข้าถึงกลุ้มคนทุกเพศ โดยไม่มีข้อจํากัดเรื่องเวลาและสถานที่ แม้ว่าจะมีการใช้สื่อสังคมออนไลน์ในทางสร้างสรรค์สิ่งดีๆให้แก่สังคม
การเตือนภัย การส่งต่อข้อมูลข่าวสารเพื่อ ช่วยเหลือผู้ที่กําลังเดือดร้อน หลายครั้ง คนในสังคมก็รู้สึกไม่มั่นใจพบว่าตนเองถูกหลอกลวง บางกลุ้มที่ใช้สื่อสังคม
ออนไลน์เป็นพื้นที่แสวงหาผลประโยชน์ส่วนตัว จนทําให้เกิดความเข้าใจผิด
เสื่อมเสียให้แก่ผู้อื่น ดังนั้นการใช้สื่อสังคมออนไลน์ด้วยเจตนา
จึงมีผลกระทบต่อสื่อสังคมออนไลน์ของของมูลข่าวสารโดยตรง",5.5,1,0.5,1,0.5,1,0.5,1,0,0,0,0,0,0,18.33
85913003-3251,การใช้สื่อสังคมออนไลน์ มีทั้งข้อดี และข้อดีเช่น สื่อดีสามารถสื่อสารได้อย่างรวดเร็วทันทีสามารถรู้ข่าวหาข้อมูลดีดีให้แก่ตัวเราได้ ข้อเสียก็เราใช้ในทางที่ผิด  เช่น ไปค้นหาของมูล และอาจเกิดการหลอกเลียนแบบ เหือน ที่ออกข่าวอยู่ในปัุจจุบันคือเล่นเกม. แล้วหัวร้อนเลยมาต่อยกันในชีวิตจริงและโดนเข้าคุกไป,"มีความจำเป็น เพราะว่ายุคนี้เป็นยุคที่สือออนไลน์เข้าถึงได้ง่ายติดต่อได้
สดวกและรวดเร็วเช่นถ้าเป็นยุคปี2000 เด็กยุคนั้นถ้าจะดูสื่อก็ดูได้แค่TV แล้วไหนก้ต้องหาช่วงมันก้ลำบาก แต่ถ้าเป็นยุคนี้เด็กเกือบทุกคนมีมือถือใช้ก่น สามารถโทร ดูหนัง ฝังเพลง ดูข่าวได้ทันทีไม่ต้องรอให้เสียเวลาเมื้อ TV ยุคเก่า ถ้าเป็นยุคเก่าเกิดน้ำท่วมมาเค้าอาจได้รับข่าวช้าหรือไม่รู้เลยเพราะสื่อสังคมออนไลน์ยุคนั้นถือว่าช้ามากๆถ้าเทียบกับปัจุบันทีที่ พวกเรามีมือถือสามารถรู้ได้ทันทีสามารถเตรียมตัวได้ท่น ก่อนเกิดเหตุได้ แล้วต่อมาการใช้หาข้อมูลการเรียนและเรืองต่างๆ เช่น ถ้าเป็นแก่ก่อนการหาของมูลเราสามาร หาได้แค่ในห้องสมุดเท่านั้น แต่ถ้าเป็นยุคนี้สมาร หา ได้เลยทันที่ในมื่อถือ",4.25,0,0,0,0,0,0,0,2,0.5,1,0,0,0.75,14.17
85913003-2792,"สื่อสังคมหรือที่คนทั่วไปเรียกสื่อออนไลน์นั้นเป็นสื่อหรือช่องทางการแพร่กระจายข้อมูลข่าว
สารหากใช้สื่ออย่างไม่ระมัดระวังวิพากษ์วิจารณ์ตนอื่นในทางเสียหายเนื้อหาล่อแหลมการพนันผิดกฎหมาย
เป็นต้นการโฆษณาชวนเชื่อทุกรูปแบบจนตกเป็นเหยื่อโดยไม่รู้ตัวแม้ว่าจะมีการใช้สื่อสัง
คมออนไลน์ในทางที่สร้างสรรค์สิ่งที่ดีให้แก่สังคมแต่หลายครั้งคนในสังคมก็อาจรู้สึก
ไม่มั่นใจเมื่อพบว่าตนเองถูกหลอกลวงจากคนบางกลุ่ม","เห็นด้วยเพราะจะจะไม่รู้ทันสังคมออนไลน์ไม่ปลอดภัยถ้าใช้สื่อสังคม
ออนไลน์ให้ปลอดภัยคือไม่เผยแพร่ความเป็นส่วนตัวของตนเอง",3.25,0,0,0,0.25,0,1,1,0,0,0,0,0,0,10.83
85913003-8551,สื่อสังคมหรือสื่อออนไลน์เป็นสื่อหรือช่องทางที่แพร่การจายข้อมูลข่าวสารได้อย่างรวดเร็ว การนำเสนอข้อเท็จจริงของข่าวสารอย่างตรงไปตรงมาผู้รับข้อมูลข่าวสารได้ประโยชน์เป็นอย่างดี แต่อย่างไรก็ตามหากใช้สื่ออย่างระมัดระวังก็ขัดต่อศีลธรรมอันดีของสังคมผิดกฎหมายเป็นต้น ปัจจุบันผู้คนจำนวนมากนิยมใช้สื่อสังคมออนไลน์เป็นช่องทางในการทำธุรกิจ ควรจะระมัดระวังจากมิจฉาชีพ การใช้สื่อสังคมออนไลน์ด้วยเจตนาแอบแฝงจึงมีผลกระทบต่อความน่าเชื่อถือของข่าวสารโดยตรง,"
เห็นด้วย เพราะในปัจจุบันเทคโนโลยีใหม่ ๆ เข้ามา จึงทำให้สะดวกสบายต่อการใช้ชีวิตประจำวันมาก ๆ ยกตัวอย่างเช่น ทำงานวุ่นจนไม่มีเวลาออกไปซื้อถ้าเป็นสมัยก่อนคงลำบากมากแน่ ๆ แต่สมัยนี้มีแอปพลิเคชั่นอาหารต่างๆ หากหิวก็แค่กดสั่งและนอนรอได้เลย มีเวลาไปทำอย่างอื่นอีกมากมาย แต่สมัยนี้ไม่ได้มีแค่แอป พลิเคชั่นอาหาร มีหลายแอปพลิเคชั่น เช่น เกมคลายเครียด แอพที่ให้ความบันเทิง สร้างเสียงหัวเราะ แอพหาคู่และหาเพื่อนได้จากทุกทิศทั่วทั่วโลกแค่มีสื่อสังคมออนไลน์อะไรรอบตัวก็ง่ายไปหมด",25.25,2,2,0.5,0.75,1,1,1,8,3,2,0.5,1.5,2,84.17
91913008-1243,สื่อสังคม หรือที่คนทั่วไปเรียกว่า สื่อออนไลน์ เป็นสื่อช่องทางของการแพร่กระจายของข้อมูลข่าวสารในรูปแบบต่างๆ ได้อฝาง รวดเร็วไปยังผู้ที่อยู่ทั่วโลกและยังใช้ได้เร็ว เราสามารถใช้สื่อออนไลน์ในการสื่อสารได้เป็นอย่างดีและมีคุณภาพ แต่ถ้าใช้แล้วไม่ระมัดระวังหรือการนำเสนอข้อมูลคนอื่นแบบเสียๆหายๆ ก็จะทำให้เป็นโทษแก่สังคมได้,"เห็นด้วย เพราะในยุคปัจจุบันสื่อออนไลน์มีความสำคัญมากไม่ว่าจะเป็น 
การติดต่อสื่อสารการหรือการเสพข่าวๆล้าน มาจากอินเทอร์เน็ตทั้งนั้นจึงสำคัญแก่การ ดำรงชีวิตในปัจจุบัน เช่น การติดต่อกับเพื่อนผ่านแอพพลิเคชั่นทำให้เราได้ติดต่อกันโดยที่ไม่ต้องเจอกันตัวๆ แต่เป็นการพูดคุยในออนไลน์แทนเพื่อลดการเดินทางหากอยู่ไกล",25,2,2,1,0.5,1,1,1,8,3,2,1,1,1.5,83.33
85913003-7605,สื่อสังคมหรือที่คนทั่วไปเรียกว่าสื่อออนไลน์ เป็นสื่อที่แพร่กระจายข้อมูลได้รวดเร็วทั่วทุกมุมโลกที่สัญญาณโทรศัพท์สามารถเข้าถึงได้เช่น การนำเสนอสินค้าพื้นเมืองให้เข้าถึงผู้ซื้อทั่วโลกแต่หากใช้สื่อสังคมอย่างไม่ระวังหรือขาดความรับผิดชอบต่อสังคมส่วนรวม ใช้เป็นช่องทางการทำผิดกฎหมายการทำในลักษณะดังกล่าวจะเป็นการใช้ที่เป็นโทษต่อสังคม ปัจจุบันคนจำนวนมากใช้สื่อออนไลน์ การตลาดจนได้ผลดี ดังนั้นการใช้สื่อออนไลน์ด้วยเจตนาแอบแฝงจึงมีผลต่อข้อมูลความน่าเชื่อถือของข่าวสารโดยตรง,"เห็นด้วย เนื่องจากในปัจจุบันเป็นยุคที่สื่อออนไลน์พัฒนาขึ้นมามากขึ้น
จนในอดีต ซึ่งแม้แม้จะพัฒนาไปมากขึ้นแต่เราก็ยังสามารถเข้าถึงมันได้โดยง่าย เช่น การผ่านสื่อออนไลน์ เมื่อ3-4ปีที่แล้ว สาเหตุมาจากการแพร่ระบาดของโควิด-19 หรือ เมื่อสัปดาห์ที่ผ่านมาที่เรียนออนไลน์ด้วยสาเหตุ ค่า P.M.2.5 สูงเกินมาตรฐานทำให้ไม่สะดวกมาเรียนที่โรงเรียน เป็นต้น จากตัวอย่างดังกล่าวทำให้เห็นว่าสื่อออนไลน์มีความจำเป็นค่อนข้างสูงในชีวิตแม้เป็นเพียงเด็กมัธยม ก็ยังมีการใช้สื่อออนไลน์ เพื่อการศึกษา หาความรู้ต่างๆ ดิฉันจึงเห็นด้วยกับข้อความที่กล่าวว่า “สื่อสังคมออนไลน์มีมีความจำเป็นในชีวิต”",27,3,2,0,1,1,1,1,8,3,2,2,1.25,1.75,90
85913003-2827,"สื่อสังคม หรือคนทั่วไปเรียกว่า สื่อออนไลน์ เป็นสื่อช่องทางที่แพร่กระจาย
ข้อมูลข่าวสารในรูปแบบต่างๆ เช่น การนำเสนอข้อดีนานาประการ ของสินค้าชั้นนำ เป็นต้น เราสามารถใช้สื่อสังคมออนไลน์ค้นหาและรับข่าวสารที่มีประโยชน์ได้เป็นอย่างดี  หากใช้สื่อสังคมออนไลน์อย่างไม่ระมัดระวังไม่ว่าจะเป็นการเขียนแสดงความคิดเห็นวิพากษ์วิจารณ์ผู้อื่นเสียหาย เป็นต้นในลักษณะดังกล่าวจึงเป็นการใช้ที่เป็นโทษแก่สังคม","เห็นด้วย อย่างข้อมูลข้างต้นในยุคปัจจุบันการใช้สื่อออนไลน์ กำลังกระจาย
ตัวไปอย่างแพร่หลายไม่ว่าจะเป็นหมู่วัยรุ่นหรือกลุ่มวัยทำงานก็ตาม 
ต่างก็ใช้สื่อออนไลน์ให้เกิดกระแส แต่ในการแพร่หลายนี้ก็แฝงความอัน
ตราย และน่ากลัว อย่างเช่น มิจฉาชีพที่เป็นที่อันตรายในตอนนี้ 
เพราะพวกมันอาจสืบข้อมูลจากข้อความที่เราได้เผยแพร่ลงไปในยัง
สื่อออนไลน์ ดังนั้นจึงควรใช้สื่อออนไลน์อย่างมีสติ",4.5,2,1,0,0,0,0.5,1,0,0,0,0,0,0,15
85913003-2828,"การใช้สื่อสังคมออนไลน์หรือทั่วไปเรียกว่า สื่อออนไลน์เป็นสื่อช่องทางที่แพร่กระจายข้อมูลข่าวสารต่างๆ
ได้อย่างรวดเร็วไปยังทุกคน เช่น การขายสินค้าต่างๆการนำเสนอข้อเท็จจริงและสามารถใช้สื่อสังคมออนไลน์รับข้อมูลข่าวสารต่างๆที่มีประโยขน์แต่สื่อออนไลน์ก็มีโทษข้อเสียด้วยถ้าใช้ไม่ระมัดระวังเราอาจจะโดนหลอกชักจูงในทางไม่เหมาะ
สมการกระทำผิดกฎหมายติดคุกปัจจุบันผู้คนจำนวนไม่น้อยนิยมใช้สื่อสังคมออนไลน์ในการทำธุรกิจ สังคม
ด้วยการโฆษณาชวนเชื่อทุกรูปแบบจนตกเป็นเหยื่อไม่รู้ตัวเราควรใช้สังคมออนไลน์ในทางที่ดีแก่สังคมช่วยเหลือช่วยกัน","ในการใช้สื่อสังคมออนไลน์มันมีทั้งข้อดีข้อเสียขึ้นอยู่ว่าเราจะใช้ในทางที่ถูกมั้ยถ้าใช้ในทางที่ดีก็ดี
กับตัวเราถ้าใช้ในทางที่ไม่ดีก็ผลเสียก็จะมาอยู่ที่เราหรือบางทีเราไปหลงเชื่อจนตกเป็นเหยื่อก็มียก
ตัอย่างในชีวิตประจำวันหนู บางทีก็โดนหลอกลวงจากสื่อสังคมออนไลน์ของสินค้าถูกเลยสั่งสรุปโดนหลอก
บางทีเราคสรไตรตรองให้ดีก่อนจะซื้อหรือสั่งสินค้าทุกครั้งถ้าไม่รอบคอบก็จะโดนหลอกได้เราควร เช็กให้ดีก่อนจะสั่งก็ถือว่าเป็นบทเรียนให้กับเราและจะไม่ทำซ้ำเป็นครั้งที่สอง",3.75,1,1.5,0,0,0.25,1,0,0,0,0,0,0,0,12.5
85913003-3107,"การใช้สื่อสังคมออนไลน์ สังคมหรือที่คนทั่วไปเรียกว่าสื่อออนไลน์
หรือสื่อสังคมออนไลน์ เป็นสื่อหรือช่องทางที่แพร่กระจายข้อมูลข่าวสาร
ในรูปแบบต่างๆ ดังนั้นการใช้สื่อสังคมออนไลน์ด้วยเจตนาแอบแฝงจึงมีผล
กระทบต่อความน่าเชื่อถือของข้อมูลข่าวสารโดยตรง","การเห็นด้วยและไม่เห็นด้วยมีทั้งข้อดีทั้งข้อเสียข้อดีคือ ทำอะไรตรงไหนที่ไหน
ก็สามสารถดูความบันเทิงได้หลายแบบทุกที่ทุกเวลา ส่วนข้อเสียก็มีหลายอย่าง
เช่นกันทั้งอะไไม่ดีคนที่ไม่ดีเอามาลงละคนอื่นๆ ไม่ว่าจะเป็น
เด็กหรือผู้ใหญ่ก็ได้ดูคลิปที่คนไม่ดีเหล้านั้นก็อาจจะไปพูดปากต่อ
ปากไปอีกแบบหนึ่ง",5,2,1,0,0.5,0.5,0.5,0,0,0,0,0,0,0,16.67
85913003-3119,"การใช้สื่อสังคมออนไลน์ หรือที่คนทั่วไปเรียกว่า สื่อออนไลน์หรือสังคมออนไลน์เป็นสิ่งหรือ ช่องทางที่แพร่กระจายข้อมูลข่าวสารในรูปแบบต่างๆ อย่างไรก็ตาม หากใช้สื่อสังคมออนไลน์อย่างไม่ระมัดระวัง ไม่ว่าจะเป็นแสดงความคิดเห็นวิพากษ์วิจารณ์ผู้อื่นในทางเสียหาย หรือการสร้างกลุ่มเฉพาะที่ทำต่างศีลธรรม
อันดีของสังคมตลอดจนเป็นช่องทางในการกระทำความผิดทั้งการพนัน การขายของ ผิดกฎหมายเป็นต้น การใช้สื่อสารออนไลนในบักษณะดังกล่าวจึงเป็นการใช้ที่เป็นโทษแก่สังคม","ไม่เห็นด้วยเพราะ แม้ว่าจะมีการใช้สื่อสังคมออนไลน์ในทางสร้างสรรค์สิ่งที่ดีให้แก่สังคมเปิดนั้นที่แสวงหา ประโยชน์ส่วนตัว เสื่อมเสียให้แก่ผู้อื่น ดังนั้นการใช้สื่อสังคมด้วยเจตนาแอบแฝงในทุกรูปแบบ เกิดความนิยมชมชอบในกิจการข้างต้น ด้วยการโฆษณาชวนเชื่อทุกรูปแบบจนลูกค้าไม่ชอบในการพูด
จาใส่ลูกค้าและพฤติกรรมในการทำกับลูกค้าอาจรู้สึกไม่สบายใจในที่เด็กเสริฟทำกะลูกค้าแบบนั้นต้องรับผิดชอบกับการลงโทษลูกค้า",5,2,0.5,0,0,0.25,0.25,0.5,1,0,0.5,0,0,0,16.67
85913003-8037,การใช้สื่อออนไลน์ เป็นสื่อที่แพร่กระจายข้อมูลข่าวสารในรูปแบบต่างๆอย่างรวด เช่น สินค้าพื้นเมืองให้เข้าถึงผู้ซื้อได้ทั่วโลก เป็นต้นหากใช้สื่อออนไลน์ไม่ระมัดระวัง ผิดกฎหมาย ปัจจุบันคนจำนวนมากใช้สื่อสังคมออนไลน์เพื่อสร้างกระแสให้เกิดความนิยมด้วยการโฆษณา เราจึงควรแก้ปัญหาการตกเป็นเหยื่อ ไม่ตกเป็นเหยื่อโดยเร็วการเตือนภัยให้แก่สังคมโดยเร็ว ดังนั้นการใช้สื่อออนไลน์ด้วยเจตนาแอบแฝงจึงมีผลกระทบของข้อมูลข่าวสารโดยตรง,เห็นด้วย เพราะ ข้อความที่มีเนื่อหาล่อแหลมผิดกฎหมาย เราสามารถใช้สื่อสังคมออนไลน์ค้นหารับข้อมูลข่าวสารที่เป็นประโยชน์ได้เป็นอย่างดี การนำเสนอข้อเท็จจริงแทนการเข้าสำนักพิมพ์เป็นต้น    /รับผิดชอบต่อสังคมส่วนรวมไม่ว่าจะเป็นการแสดงการเขียนวิพากษ์วิจารณ์ผู้อื่นสังคม ชักจูงผู้รับสารไปในทางที่ไม่เหมาะสม สร้างกลุ่มเฉพาะที่ผิดศีล เกิดความหลงใหลข้อมูลข่าวสาร,4.75,2,0.5,0,0.5,0.5,0.25,1,0,0,0,0,0,0,15.83
85913003-3244,"สื่อออนไลน์ หรือสื่อสังคมออนไลน์ เป็นช่องทางที่แพร่กระจายข้อมูลข่าวสารในรูปแบบต่างๆ
อย่างไรก็ตาม หากใช้สื่อสังคมออนไลน์อย่างไม่ระมัดระวัง เช่นผลงานที่มีเนื้อหาที่ล่อแหลม ตลอดจนใช้เป็นช่องทางการพนัน การขายของผิดกฎหมาย ในลักษณะดังกล่าวจึงเป็นการใช้ 
ที่เป็นโทษแก่สังคม ปัจจุบันผู้คนจำนวนไม่น้อยใช้สื่อสังคมออนไลน์ จนได้พอดี ทั้งนี้ ด้วยการโฆษณา ชวนเชื่อจนลูกค้าตกเป็นเหยื่อของกลุ่มมิจฉาชีพ ดังนั้นการใช้ด้วยเจตนาแอบแฝงจึงมีผลกระทบต่อความน่าเชื่อถือ",,3.5,2,0.5,0.5,0,0.25,0.25,0,0,0,0,0,0,0,11.67
85913003-3277,"สื่อสังคมออนไลน์เป็นช่องทางที่แพร่กระจายข่าวสารได้อย่างรวดเร็วไปยัง
ทั่วทุกมุมโลกที่สัญญาณโทรศัพท์เข้าถึงจึงกล่าวได้ว่าเราใช้สื่อออนไลน์รับข้อมูลได้เป็น
อย่างดีแต่หากใช้ไม่ระวังหรือขาดความรับผิดชอบก็จะเป็นโทษแก่สังคม ปัจจุบันสื่อ-ออนไลน์เป็นช่องทางในการประกอบอาชีพและอื่นๆอีกมากมายจนได้ผลดี แบบก้าวกระโดดแต่
หลายครั้งก็ยังมีคนแสวงหาผลประโยชน์ส่วนตัวจึงมีผลกระทบต่อความน่าเชื่อถือโดยตรง","ข้าพเจ้า เห็นด้วยกับข้อความข้างต้นเนื่องจากในปัจจุบันนี้นั้น
การที่จะเข้าถึงเนื้อหาสาระที่สำคัญนั้นจำเป็นอย่างมากที่จะต้องเปิดดู
ในอินเตอร์เน็ต หรือเว็ปไซต์ต่างๆ ซึ่งในยุคปัจจุบันนี้นั้น การที่จะ
ได้รับข่าวสารอย่างรวดเร็วและทันท่วงทีนั้นจำเป็นอย่างมากที่จะต้อง
พึ่งพาสื่อสังคมออนไลน์ หากเราไม่เราได้รับข่าวสารอย่างทันท่วงทีนั้น
อาจจะทำให้เราเกิดความอันตรายได้เลย เช่น พื้นที่ที่เราอาศัยอยู่กำลังจะเกิด
น้ำป่าไหลหลาก แต่เราไม่ได้รับข่าวสารอย่างทันท่วงทีจึงทำให้ไม่ได้ออกจากบริเวณ
น้ำป่าพัดบ้านเสียหายและเราเสียชีวิตฉะนั้นแล้วสื่อสังคมออนไลน์ก็มีความจำเป็นในชีวิต",24.75,2,1.5,1,0.75,0.75,0.75,1,8,3,2,1.25,1.25,1.5,82.5
85913003-3291,"สื่อสังคมออนไลน์เป็นสื่อที่แพร่กระจายข้อมูลข่าวสารได้อย่างทั่วถึงและรับรู้ข้อมูลที่มีประโยชน์ได้
เป็นอย่างดีแต่หากใช้อย่างไม่ระมัดระวังหรือใช้ในทางที่ผิดจะเป็นโทษแก่สังคม ปัจจุบันผู้คนนิยมใช้สื่อสังคม
ออนไลน์ในการโปรโมทตัวเองจนได้ผลดีอย่างก้าวกระโดดและการออกโฆษณาชวนเชื่อถือที่ทำให้ผู้ใช้สื่อสังคม
ออนไลน์มีการหลงเชื่อจนตกเป็นเหยื่ออย่างไม่รู้ตัวเราจึงควรแก้ปัญหาการตกเป็นเหยื่อทางการตลาด
ของกลุ่มมิจฉาชีพด้วยการเร่งสร้างภูมิคุ้มกันรู้ทันสื่อไม่ตกเป็นเหยื่อทางการตลาด","ข้าพเจ้าเห็นด้วยกับข้อความข้างต้น เพราะ ปัจจุบันผู้คนนิยมใช้สื่อสังคมออนไลน์ในการเผย
แพร่ข่าวสารข้อมูลต่างๆทำให้ผู้คนต้องคอยติดตามข้อมูลข่าวสารจากสื่อสังคมออนไลน์ตลอด
แต่หากเราไม่คอยติดตามก็อาจได้รับข้อมูลที่คาดเคลื่อนหรือปรับตัวไม่ทันเพราะฉะนั้นเรา
จึงจำเป็น ต้องใช้สื่อสังคมออนไลน์ในชีวิตประจำวัน เช่น การรับข่าวสารถึงสถานการณ์ของ
ฝุ่น PM2.5 ถ้าหากเราไม่ติดตามจากสื่อออนไลน์อาจมีสิทธิ์เป็นโรคจากฝุ่น PM 2.5 ได้
ทั้งนี้ทั้งนั้นการรับสื่อออนไลน์ก็ควรรับและพิจารณาก่อนเชื่อตามควรจะเชื่อข้อมูลข่าว
สารที่มีแหล่งอ้างอิงอย่างชัดเจน และไม่ควรติดสื่อมากเกินควรดูหรือรับข้อมูลให้พอเหมาะ",26,3,2,0,0.5,1,1,1,8,3,2,1.25,1.25,2,86.67
85913003-3344,สื่อสังคมหรือสื่อออนไลน์เป็นทางที่แพร่กระจายอย่างรวดเร็วซึ่งมีทั้งข้อจริงและข้อไม่จริง ควรระมัดระวังในการจะอ่านหรือซื้อของเพราะบางอย่างผิดกฎหมายและจะนำไปสู่อันตรายแก่ผู้ซื้อมีหลายคนที่ตกเป็นเหยื่อยังไม่รู้ตัว ควรแก้ปัญหาจากการตกเป็นเหยื่อทางการตลาดของกลุ่มมิจฉาชีพ แม้ว่าสื่อสังคมจะมีความคิดสร้างสรรค์ให้กับสังคมแต่หลายครั้งคนในสังคมก็อาจรู้สึกไม่มั่นใจเมื่อพบว่าตัวเองถูกหลอกลวง ดังนั้นการใช้สื่อสังคมออนไลน์ด้วยเจตนาแอบแฝงจึงมีผลกระทบต่อความน่าเชื่อถือของข้อมูลข่าวสารโดยตรง,"เห็นด้วย เพราะ สื่อสังคมออนไลน์ช่วยในเรื่องของการกิน การไปเที่ยว 
การซื้อของ อย่างเช่น สั่งของกินในแอพ ค้นหาสถานที่ไปเที่ยว การสั่งของมาใช้ และการใช้สื่อออนไลน์ทำให้ไม่ง่วงและมีอะไรทำมากขึ้น อีกทั้งยังสร้างประโยชน์สร้างความสุข สร้างแรงบันดาลใจ และยังช่วยเรื่องเรียน ในการค้นข้อการบ้านที่ตนตนเองไม่ทราบ ทำให้เราทำการบ้านได้ง่าย โดยไม่ต้องให้คุณครูสอน เป็นอีกอย่างนึ่งที่แบ่งเบาภาระได้ง่ายและมีประโยชน์มากๆในยุคนี้ สื่อสังคมออนไลน์บางอย่างต้องดูให้ดีๆ แต่มันก็เป็นผลดีต่อเราอย่างนึง ทำให้มีเวลาว่างมากขึ้นกว่าเดิม",26,2,2,1,1,0.75,1,1,8,3,2,1.75,0.5,2,86.67
85913003-8115,สื่อสังคม เป็นสื่อหรือช่องทางที่แพร่กระจายข้อมูลข่าวสารในรูปแบบต่างๆ ได้อย่างรวดเร็ว ไปยังผู้คนที่อยู่ทั่วทุกมุมโลกที่สัญญาณโทรศัพท์เข้าถึง อย่างไรก็ตาม หากใช้สื่อสังคมอะไรอย่างไม่ระมัดระวัง หรือขาดความรับผิดชอบต่อสังคมส่วนรวมเป็นโทษแก่สังคม ผู้คนจำนวนไม่น้อยนิยมใช้การตลาดทั้งในธุรกิจ สังคม และการเมือง จนได้ผลดีแบบก้าวกระโดดเพราะสามารถเข้าถึงกลุ่มคนทุกเพศ ทุกวัย และทุกสาขาอาชีพ โดยไม่มีข้อจำกัดเรื่องเวลาและสถานที่ จึงอาจตกเป็นเหยื่อให้กับข้อมูลที่เป็นจริงได้ และควรใช้ในทางสร้างสรรค์สิ่งที่ดีให้แก่สังคม,เห็นด้วย เพราะสื่อออนไลน์สะดวกและรวดเร็วสำหรับการใช้ทำงาน หรือธุรกิจต่างๆได้ง่าย เข้าได้ง่ายกับทุกคนในสื่อออนไลน์ ทำให้ควรใช้สื่อในการเรียนรู้มีประโยชน์มากสำหรับนักเรียนที่ใช้เรียนรู้และต่อยอดในอนาคตได้ เช่น ค้นหาข้อมูลการเรียนเรียนต่อจากเว็บไซต์ที่ต้องการได้ง่ายขึ้น ใช้ออกแบบงานส่งครูได้สะดวก และใช้ดูสื่อการเรียนต่างๆ ปัจจุบันจะมีการใช้สื่อออนไลน์กันเป็นส่วนใหญ่พอใช้งานได้หลายแบบ,26,2,1.5,0.5,1,1,1,1,8,2.5,2,2,1.75,1.75,86.67
